000000000001,2.123,Zwolle,Netherlands,52.24N,5.26E
1812-08-01,15.787,5.822,Zwolle,Netherlands,52.24N,5.26E
1812-09-01,13.43,1.112,Zwolle,Netherlands,52.24N,5.26E
1812-10-01,10.314,4.247,Zwolle,Netherlands,52.24N,5.26E
1812-11-01,2.983,3.9530000000000003,Zwolle,Netherlands,52.24N,5.26E
1812-12-01,-2.3440000000000003,4.596,Zwolle,Netherlands,52.24N,5.26E
1813-01-01,-0.2290000000000001,5.426,Zwolle,Netherlands,52.24N,5.26E
1813-02-01,4.571000000000001,2.029,Zwolle,Netherlands,52.24N,5.26E
1813-03-01,4.8980000000000015,9.2,Zwolle,Netherlands,52.24N,5.26E
1813-04-01,8.654,1.2919999999999998,Zwolle,Netherlands,52.24N,5.26E
1813-05-01,13.263,7.117000000000001,Zwolle,Netherlands,52.24N,5.26E
1813-06-01,14.906,3.556,Zwolle,Netherlands,52.24N,5.26E
1813-07-01,16.750999999999998,2.294,Zwolle,Netherlands,52.24N,5.26E
1813-08-01,15.765,1.33,Zwolle,Netherlands,52.24N,5.26E
1813-09-01,13.295,2.3209999999999997,Zwolle,Netherlands,52.24N,5.26E
1813-10-01,8.167,1.5630000000000002,Zwolle,Netherlands,52.24N,5.26E
1813-11-01,4.428999999999999,2.4290000000000003,Zwolle,Netherlands,52.24N,5.26E
1813-12-01,1.5459999999999998,2.352,Zwolle,Netherlands,52.24N,5.26E
1814-01-01,-3.1630000000000003,4.031000000000001,Zwolle,Netherlands,52.24N,5.26E
1814-02-01,-2.3260000000000005,1.905,Zwolle,Netherlands,52.24N,5.26E
1814-03-01,1.46,3.025,Zwolle,Netherlands,52.24N,5.26E
1814-04-01,9.734,1.412,Zwolle,Netherlands,52.24N,5.26E
1814-05-01,10.368,1.8880000000000001,Zwolle,Netherlands,52.24N,5.26E
1814-06-01,13.616,1.953,Zwolle,Netherlands,52.24N,5.26E
1814-07-01,17.843,3.6439999999999997,Zwolle,Netherlands,52.24N,5.26E
1814-08-01,16.087,1.702,Zwolle,Netherlands,52.24N,5.26E
1814-09-01,13.136,2.013,Zwolle,Netherlands,52.24N,5.26E
1814-10-01,7.949,4.962,Zwolle,Netherlands,52.24N,5.26E
1814-11-01,5.183,7.436,Zwolle,Netherlands,52.24N,5.26E
1814-12-01,3.179,8.531,Zwolle,Netherlands,52.24N,5.26E
1815-01-01,-2.123,2.27,Zwolle,Netherlands,52.24N,5.26E
1815-02-01,4.137,7.025,Zwolle,Netherlands,52.24N,5.26E
1815-03-01,6.9060000000000015,5.2139999999999995,Zwolle,Netherlands,52.24N,5.26E
1815-04-01,8.683,2.456,Zwolle,Netherlands,52.24N,5.26E
1815-05-01,13.22,3.6460000000000004,Zwolle,Netherlands,52.24N,5.26E
1815-06-01,15.393999999999998,3.2760000000000002,Zwolle,Netherlands,52.24N,5.26E
1815-07-01,15.323999999999998,3.2039999999999997,Zwolle,Netherlands,52.24N,5.26E
1815-08-01,15.966,2.602,Zwolle,Netherlands,52.24N,5.26E
1815-09-01,13.443,1.38,Zwolle,Netherlands,52.24N,5.26E
1815-10-01,9.719,4.329,Zwolle,Netherlands,52.24N,5.26E
1815-11-01,3.699,2.9010000000000002,Zwolle,Netherlands,52.24N,5.26E
1815-12-01,0.5789999999999997,2.907,Zwolle,Netherlands,52.24N,5.26E
1816-01-01,1.479,4.835,Zwolle,Netherlands,52.24N,5.26E
1816-02-01,0.4659999999999998,2.551,Zwolle,Netherlands,52.24N,5.26E
1816-03-01,3.495,2.968,Zwolle,Netherlands,52.24N,5.26E
1816-04-01,7.7970000000000015,5.251,Zwolle,Netherlands,52.24N,5.26E
1816-05-01,10.552999999999999,2.447,Zwolle,Netherlands,52.24N,5.26E
1816-06-01,13.273,2.2840000000000003,Zwolle,Netherlands,52.24N,5.26E
1816-07-01,15.319,2.528,Zwolle,Netherlands,52.24N,5.26E
1816-08-01,14.469,0.8190000000000001,Zwolle,Netherlands,52.24N,5.26E
1816-09-01,12.657,1.3219999999999998,Zwolle,Netherlands,52.24N,5.26E
1816-10-01,9.149,7.582000000000001,Zwolle,Netherlands,52.24N,5.26E
1816-11-01,2.777,8.286,Zwolle,Netherlands,52.24N,5.26E
1816-12-01,1.9180000000000001,2.208,Zwolle,Netherlands,52.24N,5.26E
1817-01-01,3.658,5.67,Zwolle,Netherlands,52.24N,5.26E
1817-02-01,5.112,3.3819999999999997,Zwolle,Netherlands,52.24N,5.26E
1817-03-01,4.405,3.3710000000000004,Zwolle,Netherlands,52.24N,5.26E
1817-04-01,5.5089999999999995,2.5869999999999997,Zwolle,Netherlands,52.24N,5.26E
1817-05-01,11.17,2.9760000000000004,Zwolle,Netherlands,52.24N,5.26E
1817-06-01,16.548,1.922,Zwolle,Netherlands,52.24N,5.26E
1817-07-01,15.802,1.402,Zwolle,Netherlands,52.24N,5.26E
1817-08-01,15.29,2.472,Zwolle,Netherlands,52.24N,5.26E
1817-09-01,15.145,3.1689999999999996,Zwolle,Netherlands,52.24N,5.26E
1817-10-01,6.097999999999999,3.802,Zwolle,Netherlands,52.24N,5.26E
1817-11-01,7.443,2.681,Zwolle,Netherlands,52.24N,5.26E
1817-12-01,1.09,3.063,Zwolle,Netherlands,52.24N,5.26E
1818-01-01,3.089,4.215,Zwolle,Netherlands,52.24N,5.26E
1818-02-01,1.923,1.855,Zwolle,Netherlands,52.24N,5.26E
1818-03-01,4.745,2.523,Zwolle,Netherlands,52.24N,5.26E
1818-04-01,8.331,7.15,Zwolle,Netherlands,52.24N,5.26E
1818-05-01,12.212000000000002,4.239,Zwolle,Netherlands,52.24N,5.26E
1818-06-01,17.396,5.483,Zwolle,Netherlands,52.24N,5.26E
1818-07-01,18.639,3.944,Zwolle,Netherlands,52.24N,5.26E
1818-08-01,16.243000000000002,1.7630000000000001,Zwolle,Netherlands,52.24N,5.26E
1818-09-01,14.192,2.917,Zwolle,Netherlands,52.24N,5.26E
1818-10-01,9.449,3.036,Zwolle,Netherlands,52.24N,5.26E
1818-11-01,6.815,6.1160000000000005,Zwolle,Netherlands,52.24N,5.26E
1818-12-01,0.6560000000000001,2.25,Zwolle,Netherlands,52.24N,5.26E
1819-01-01,3.18,3.372,Zwolle,Netherlands,52.24N,5.26E
1819-02-01,3.39,4.1610000000000005,Zwolle,Netherlands,52.24N,5.26E
1819-03-01,4.746,7.846,Zwolle,Netherlands,52.24N,5.26E
1819-04-01,9.215,1.598,Zwolle,Netherlands,52.24N,5.26E
1819-05-01,13.664,2.42,Zwolle,Netherlands,52.24N,5.26E
1819-06-01,16.058999999999994,1.7619999999999998,Zwolle,Netherlands,52.24N,5.26E
1819-07-01,18.483,1.288,Zwolle,Netherlands,52.24N,5.26E
1819-08-01,18.613,1.7619999999999998,Zwolle,Netherlands,52.24N,5.26E
1819-09-01,14.822000000000001,1.0979999999999999,Zwolle,Netherlands,52.24N,5.26E
1819-10-01,8.553999999999998,1.944,Zwolle,Netherlands,52.24N,5.26E
1819-11-01,3.448,2.483,Zwolle,Netherlands,52.24N,5.26E
1819-12-01,0.3759999999999999,3.0439999999999996,Zwolle,Netherlands,52.24N,5.26E
1820-01-01,-2.642,8.286,Zwolle,Netherlands,52.24N,5.26E
1820-02-01,1.7569999999999997,3.536,Zwolle,Netherlands,52.24N,5.26E
1820-03-01,3.125,3.0660000000000003,Zwolle,Netherlands,52.24N,5.26E
1820-04-01,9.621,1.462,Zwolle,Netherlands,52.24N,5.26E
1820-05-01,13.005999999999998,2.2840000000000003,Zwolle,Netherlands,52.24N,5.26E
1820-06-01,13.685,1.25,Zwolle,Netherlands,52.24N,5.26E
1820-07-01,16.308,3.883,Zwolle,Netherlands,52.24N,5.26E
1820-08-01,17.01,3.063,Zwolle,Netherlands,52.24N,5.26E
1820-09-01,13.072000000000001,2.045,Zwolle,Netherlands,52.24N,5.26E
1820-10-01,8.405999999999999,1.0090000000000001,Zwolle,Netherlands,52.24N,5.26E
1820-11-01,2.935,1.11,Zwolle,Netherlands,52.24N,5.26E
1820-12-01,1.081,1.685,Zwolle,Netherlands,52.24N,5.26E
1821-01-01,1.4080000000000001,4.114,Zwolle,Netherlands,52.24N,5.26E
1821-02-01,0.5919999999999999,5.416,Zwolle,Netherlands,52.24N,5.26E
1821-03-01,4.779,2.005,Zwolle,Netherlands,52.24N,5.26E
1821-04-01,10.515999999999998,2.495,Zwolle,Netherlands,52.24N,5.26E
1821-05-01,10.823,1.7480000000000002,Zwolle,Netherlands,52.24N,5.26E
1821-06-01,13.326,3.266,Zwolle,Netherlands,52.24N,5.26E
1821-07-01,15.005999999999998,2.498,Zwolle,Netherlands,52.24N,5.26E
1821-08-01,16.748,1.595,Zwolle,Netherlands,52.24N,5.26E
1821-09-01,15.064,1.5,Zwolle,Netherlands,52.24N,5.26E
1821-10-01,9.687000000000001,0.557,Zwolle,Netherlands,52.24N,5.26E
1821-11-01,7.803,3.071,Zwolle,Netherlands,52.24N,5.26E
1821-12-01,5.694,2.07,Zwolle,Netherlands,52.24N,5.26E
1822-01-01,3.4360000000000004,3.0010000000000003,Zwolle,Netherlands,52.24N,5.26E
1822-02-01,5.2349999999999985,2.2569999999999997,Zwolle,Netherlands,52.24N,5.26E
1822-03-01,7.692,1.59,Zwolle,Netherlands,52.24N,5.26E
1822-04-01,9.237,1.624,Zwolle,Netherlands,52.24N,5.26E
1822-05-01,14.437999999999999,2.01,Zwolle,Netherlands,52.24N,5.26E
1822-06-01,17.817,1.745,Zwolle,Netherlands,52.24N,5.26E
1822-07-01,17.198999999999998,1.015,Zwolle,Netherlands,52.24N,5.26E
1822-08-01,16.575000000000006,2.9760000000000004,Zwolle,Netherlands,52.24N,5.26E
1822-09-01,12.960999999999999,2.36,Zwolle,Netherlands,52.24N,5.26E
1822-10-01,10.857000000000001,0.9359999999999999,Zwolle,Netherlands,52.24N,5.26E
1822-11-01,7.925,1.88,Zwolle,Netherlands,52.24N,5.26E
1822-12-01,-1.1079999999999997,3.438,Zwolle,Netherlands,52.24N,5.26E
1823-01-01,-4.371,2.358,Zwolle,Netherlands,52.24N,5.26E
1823-02-01,2.086,2.6639999999999997,Zwolle,Netherlands,52.24N,5.26E
1823-03-01,4.793,1.915,Zwolle,Netherlands,52.24N,5.26E
1823-04-01,6.6640000000000015,3.389,Zwolle,Netherlands,52.24N,5.26E
1823-05-01,13.186,1.9140000000000001,Zwolle,Netherlands,52.24N,5.26E
1823-06-01,13.706,2.807,Zwolle,Netherlands,52.24N,5.26E
1823-07-01,15.755,1.5319999999999998,Zwolle,Netherlands,52.24N,5.26E
1823-08-01,17.047,1.9569999999999999,Zwolle,Netherlands,52.24N,5.26E
1823-09-01,13.579,1.6840000000000002,Zwolle,Netherlands,52.24N,5.26E
1823-10-01,8.824,1.966,Zwolle,Netherlands,52.24N,5.26E
1823-11-01,5.683,4.305,Zwolle,Netherlands,52.24N,5.26E
1823-12-01,4.348,1.065,Zwolle,Netherlands,52.24N,5.26E
1824-01-01,2.7060000000000004,1.395,Zwolle,Netherlands,52.24N,5.26E
1824-02-01,3.218,2.8939999999999997,Zwolle,Netherlands,52.24N,5.26E
1824-03-01,3.867,1.705,Zwolle,Netherlands,52.24N,5.26E
1824-04-01,7.125,2.434,Zwolle,Netherlands,52.24N,5.26E
1824-05-01,11.325999999999999,1.358,Zwolle,Netherlands,52.24N,5.26E
1824-06-01,15.127,3.46,Zwolle,Netherlands,52.24N,5.26E
1824-07-01,16.778,4.2860000000000005,Zwolle,Netherlands,52.24N,5.26E
1824-08-01,16.685000000000002,2.2680000000000002,Zwolle,Netherlands,52.24N,5.26E
1824-09-01,15.238,2.201,Zwolle,Netherlands,52.24N,5.26E
1824-10-01,9.811,1.517,Zwolle,Netherlands,52.24N,5.26E
1824-11-01,6.92,2.102,Zwolle,Netherlands,52.24N,5.26E
1824-12-01,5.3119999999999985,3.8489999999999998,Zwolle,Netherlands,52.24N,5.26E
1825-01-01,3.384,3.205,Zwolle,Netherlands,52.24N,5.26E
1825-02-01,2.852,2.101,Zwolle,Netherlands,52.24N,5.26E
1825-03-01,2.887,2.943,Zwolle,Netherlands,52.24N,5.26E
1825-04-01,9.03,3.025,Zwolle,Netherlands,52.24N,5.26E
1825-05-01,12.644,0.929,Zwolle,Netherlands,52.24N,5.26E
1825-06-01,15.299000000000001,0.643,Zwolle,Netherlands,52.24N,5.26E
1825-07-01,17.43,3.264,Zwolle,Netherlands,52.24N,5.26E
1825-08-01,16.719,3.18,Zwolle,Netherlands,52.24N,5.26E
1825-09-01,15.521,2.398,Zwolle,Netherlands,52.24N,5.26E
1825-10-01,10.382,2.383,Zwolle,Netherlands,52.24N,5.26E
1825-11-01,5.933,2.819,Zwolle,Netherlands,52.24N,5.26E
1825-12-01,4.9670000000000005,1.153,Zwolle,Netherlands,52.24N,5.26E
1826-01-01,-2.5690000000000004,1.237,Zwolle,Netherlands,52.24N,5.26E
1826-02-01,4.337999999999999,1.78,Zwolle,Netherlands,52.24N,5.26E
1826-03-01,5.2890000000000015,2.033,Zwolle,Netherlands,52.24N,5.26E
1826-04-01,8.025,3.4589999999999996,Zwolle,Netherlands,52.24N,5.26E
1826-05-01,11.734000000000002,1.899,Zwolle,Netherlands,52.24N,5.26E
1826-06-01,17.000999999999998,2.855,Zwolle,Netherlands,52.24N,5.26E
1826-07-01,19.385,1.354,Zwolle,Netherlands,52.24N,5.26E
1826-08-01,19.133000000000006,1.72,Zwolle,Netherlands,52.24N,5.26E
1826-09-01,14.484000000000002,2.9960000000000004,Zwolle,Netherlands,52.24N,5.26E
1826-10-01,11.206,3.4589999999999996,Zwolle,Netherlands,52.24N,5.26E
1826-11-01,4.788,1.206,Zwolle,Netherlands,52.24N,5.26E
1826-12-01,4.535,2.383,Zwolle,Netherlands,52.24N,5.26E
1827-01-01,-0.8940000000000001,2.8510000000000004,Zwolle,Netherlands,52.24N,5.26E
1827-02-01,-2.92,1.63,Zwolle,Netherlands,52.24N,5.26E
1827-03-01,5.242000000000001,2.295,Zwolle,Netherlands,52.24N,5.26E
1827-04-01,9.417,4.15,Zwolle,Netherlands,52.24N,5.26E
1827-05-01,13.321000000000002,2.95,Zwolle,Netherlands,52.24N,5.26E
1827-06-01,15.593,2.336,Zwolle,Netherlands,52.24N,5.26E
1827-07-01,17.494999999999994,1.4980000000000002,Zwolle,Netherlands,52.24N,5.26E
1827-08-01,16.061,1.889,Zwolle,Netherlands,52.24N,5.26E
1827-09-01,14.362,0.937,Zwolle,Netherlands,52.24N,5.26E
1827-10-01,10.454,0.8540000000000001,Zwolle,Netherlands,52.24N,5.26E
1827-11-01,3.802,1.182,Zwolle,Netherlands,52.24N,5.26E
1827-12-01,5.8660000000000005,4.137,Zwolle,Netherlands,52.24N,5.26E
1828-01-01,2.237,2.5789999999999997,Zwolle,Netherlands,52.24N,5.26E
1828-02-01,2.17,3.0639999999999996,Zwolle,Netherlands,52.24N,5.26E
1828-03-01,5.5489999999999995,2.347,Zwolle,Netherlands,52.24N,5.26E
1828-04-01,8.712,2.5380000000000003,Zwolle,Netherlands,52.24N,5.26E
1828-05-01,13.045,3.2460000000000004,Zwolle,Netherlands,52.24N,5.26E
1828-06-01,16.423,2.887,Zwolle,Netherlands,52.24N,5.26E
1828-07-01,17.798,1.6230000000000002,Zwolle,Netherlands,52.24N,5.26E
1828-08-01,15.627,2.6060000000000003,Zwolle,Netherlands,52.24N,5.26E
1828-09-01,14.404000000000002,1.34,Zwolle,Netherlands,52.24N,5.26E
1828-10-01,9.493,1.825,Zwolle,Netherlands,52.24N,5.26E
1828-11-01,5.483,1.7209999999999999,Zwolle,Netherlands,52.24N,5.26E
1828-12-01,4.652,3.096,Zwolle,Netherlands,52.24N,5.26E
1829-01-01,-3.0740000000000003,1.633,Zwolle,Netherlands,52.24N,5.26E
1829-02-01,-0.29400000000000004,3.783,Zwolle,Netherlands,52.24N,5.26E
1829-03-01,3.0860000000000003,1.845,Zwolle,Netherlands,52.24N,5.26E
1829-04-01,7.630000000000001,1.706,Zwolle,Netherlands,52.24N,5.26E
1829-05-01,12.662,4.191,Zwolle,Netherlands,52.24N,5.26E
1829-06-01,15.383,2.8310000000000004,Zwolle,Netherlands,52.24N,5.26E
1829-07-01,16.549,1.722,Zwolle,Netherlands,52.24N,5.26E
1829-08-01,15.065999999999999,1.983,Zwolle,Netherlands,52.24N,5.26E
1829-09-01,12.409,2.3209999999999997,Zwolle,Netherlands,52.24N,5.26E
1829-10-01,8.353,2.083,Zwolle,Netherlands,52.24N,5.26E
1829-11-01,2.784,3.6,Zwolle,Netherlands,52.24N,5.26E
1829-12-01,-4.16,5.321000000000001,Zwolle,Netherlands,52.24N,5.26E
1830-01-01,-3.135,3.5189999999999997,Zwolle,Netherlands,52.24N,5.26E
1830-02-01,-1.511,1.7309999999999999,Zwolle,Netherlands,52.24N,5.26E
1830-03-01,6.005,1.3530000000000002,Zwolle,Netherlands,52.24N,5.26E
1830-04-01,9.397,1.632,Zwolle,Netherlands,52.24N,5.26E
1830-05-01,12.738,1.115,Zwolle,Netherlands,52.24N,5.26E
1830-06-01,13.966,3.395,Zwolle,Netherlands,52.24N,5.26E
1830-07-01,17.500999999999998,2.0,Zwolle,Netherlands,52.24N,5.26E
1830-08-01,15.408,2.752,Zwolle,Netherlands,52.24N,5.26E
1830-09-01,12.51,3.1489999999999996,Zwolle,Netherlands,52.24N,5.26E
1830-10-01,9.379,4.045,Zwolle,Netherlands,52.24N,5.26E
1830-11-01,6.5459999999999985,2.226,Zwolle,Netherlands,52.24N,5.26E
1830-12-01,0.677,2.3369999999999997,Zwolle,Netherlands,52.24N,5.26E
1831-01-01,-0.5750000000000002,3.1889999999999996,Zwolle,Netherlands,52.24N,5.26E
1831-02-01,3.2310000000000003,5.907,Zwolle,Netherlands,52.24N,5.26E
1831-03-01,5.8740000000000006,4.413,Zwolle,Netherlands,52.24N,5.26E
1831-04-01,10.118,1.564,Zwolle,Netherlands,52.24N,5.26E
1831-05-01,12.454,3.6069999999999998,Zwolle,Netherlands,52.24N,5.26E
1831-06-01,15.254000000000001,2.6839999999999997,Zwolle,Netherlands,52.24N,5.26E
1831-07-01,17.881,1.82,Zwolle,Netherlands,52.24N,5.26E
1831-08-01,17.37,2.075,Zwolle,Netherlands,52.24N,5.26E
1831-09-01,13.4,1.925,Zwolle,Netherlands,52.24N,5.26E
1831-10-01,13.117,1.831,Zwolle,Netherlands,52.24N,5.26E
1831-11-01,5.231,6.059,Zwolle,Netherlands,52.24N,5.26E
1831-12-01,4.526,4.378,Zwolle,Netherlands,52.24N,5.26E
1832-01-01,0.28200000000000003,2.418,Zwolle,Netherlands,52.24N,5.26E
1832-02-01,1.6029999999999998,2.6639999999999997,Zwolle,Netherlands,52.24N,5.26E
1832-03-01,4.208,2.146,Zwolle,Netherlands,52.24N,5.26E
1832-04-01,8.914,3.741,Zwolle,Netherlands,52.24N,5.26E
1832-05-01,11.020999999999999,2.4859999999999998,Zwolle,Netherlands,52.24N,5.26E
1832-06-01,15.408,2.403,Zwolle,Netherlands,52.24N,5.26E
1832-07-01,15.39,3.205,Zwolle,Netherlands,52.24N,5.26E
1832-08-01,16.785999999999998,2.286,Zwolle,Netherlands,52.24N,5.26E
1832-09-01,13.182,3.1180000000000003,Zwolle,Netherlands,52.24N,5.26E
1832-10-01,9.818,2.252,Zwolle,Netherlands,52.24N,5.26E
1832-11-01,3.966,0.93,Zwolle,Netherlands,52.24N,5.26E
1832-12-01,3.25,5.281000000000001,Zwolle,Netherlands,52.24N,5.26E
1833-01-01,-1.8840000000000001,3.463,Zwolle,Netherlands,52.24N,5.26E
1833-02-01,4.757,2.161,Zwolle,Netherlands,52.24N,5.26E
1833-03-01,2.6180000000000003,2.918,Zwolle,Netherlands,52.24N,5.26E
1833-04-01,7.334,1.806,Zwolle,Netherlands,52.24N,5.26E
1833-05-01,15.722999999999999,1.4869999999999999,Zwolle,Netherlands,52.24N,5.26E
1833-06-01,16.527,2.0,Zwolle,Netherlands,52.24N,5.26E
1833-07-01,16.448,1.594,Zwolle,Netherlands,52.24N,5.26E
1833-08-01,14.04,1.824,Zwolle,Netherlands,52.24N,5.26E
1833-09-01,12.974,1.161,Zwolle,Netherlands,52.24N,5.26E
1833-10-01,9.562000000000001,1.429,Zwolle,Netherlands,52.24N,5.26E
1833-11-01,5.393,1.8219999999999998,Zwolle,Netherlands,52.24N,5.26E
1833-12-01,5.82,3.302,Zwolle,Netherlands,52.24N,5.26E
1834-01-01,5.621,2.884,Zwolle,Netherlands,52.24N,5.26E
1834-02-01,3.0380000000000003,3.082,Zwolle,Netherlands,52.24N,5.26E
1834-03-01,5.71,2.449,Zwolle,Netherlands,52.24N,5.26E
1834-04-01,7.247000000000001,3.0239999999999996,Zwolle,Netherlands,52.24N,5.26E
1834-05-01,14.478000000000002,1.3530000000000002,Zwolle,Netherlands,52.24N,5.26E
1834-06-01,16.604,3.028,Zwolle,Netherlands,52.24N,5.26E
1834-07-01,19.906,1.956,Zwolle,Netherlands,52.24N,5.26E
1834-08-01,18.642000000000003,1.7819999999999998,Zwolle,Netherlands,52.24N,5.26E
1834-09-01,15.356,3.1519999999999997,Zwolle,Netherlands,52.24N,5.26E
1834-10-01,10.121,1.4369999999999998,Zwolle,Netherlands,52.24N,5.26E
1834-11-01,5.176,2.456,Zwolle,Netherlands,52.24N,5.26E
1834-12-01,3.967,1.6019999999999999,Zwolle,Netherlands,52.24N,5.26E
1835-01-01,2.318,2.205,Zwolle,Netherlands,52.24N,5.26E
1835-02-01,4.43,2.094,Zwolle,Netherlands,52.24N,5.26E
1835-03-01,4.9060000000000015,2.07,Zwolle,Netherlands,52.24N,5.26E
1835-04-01,7.444,2.615,Zwolle,Netherlands,52.24N,5.26E
1835-05-01,11.294,1.412,Zwolle,Netherlands,52.24N,5.26E
1835-06-01,16.244,2.12,Zwolle,Netherlands,52.24N,5.26E
1835-07-01,17.991,1.9809999999999999,Zwolle,Netherlands,52.24N,5.26E
1835-08-01,16.993000000000002,0.9990000000000001,Zwolle,Netherlands,52.24N,5.26E
1835-09-01,14.418,1.71,Zwolle,Netherlands,52.24N,5.26E
1835-10-01,8.631,1.3459999999999999,Zwolle,Netherlands,52.24N,5.26E
1835-11-01,3.641,1.49,Zwolle,Netherlands,52.24N,5.26E
1835-12-01,1.2919999999999998,1.835,Zwolle,Netherlands,52.24N,5.26E
1836-01-01,1.4269999999999998,0.741,Zwolle,Netherlands,52.24N,5.26E
1836-02-01,2.384,2.109,Zwolle,Netherlands,52.24N,5.26E
1836-03-01,7.002999999999999,0.917,Zwolle,Netherlands,52.24N,5.26E
1836-04-01,7.427,0.9890000000000001,Zwolle,Netherlands,52.24N,5.26E
1836-05-01,11.019,1.6,Zwolle,Netherlands,52.24N,5.26E
1836-06-01,15.713,1.5519999999999998,Zwolle,Netherlands,52.24N,5.26E
1836-07-01,16.785,1.847,Zwolle,Netherlands,52.24N,5.26E
1836-08-01,15.700999999999999,1.8430000000000002,Zwolle,Netherlands,52.24N,5.26E
1836-09-01,12.397,2.633,Zwolle,Netherlands,52.24N,5.26E
1836-10-01,9.976,5.591,Zwolle,Netherlands,52.24N,5.26E
1836-11-01,5.019,1.97,Zwolle,Netherlands,52.24N,5.26E
1836-12-01,3.574,2.843,Zwolle,Netherlands,52.24N,5.26E
1837-01-01,1.516,2.88,Zwolle,Netherlands,52.24N,5.26E
1837-02-01,3.1630000000000003,1.8780000000000001,Zwolle,Netherlands,52.24N,5.26E
1837-03-01,1.6110000000000002,2.049,Zwolle,Netherlands,52.24N,5.26E
1837-04-01,5.035,1.486,Zwolle,Netherlands,52.24N,5.26E
1837-05-01,10.062999999999999,1.4969999999999999,Zwolle,Netherlands,52.24N,5.26E
1837-06-01,15.607000000000001,2.019,Zwolle,Netherlands,52.24N,5.26E
1837-07-01,16.462999999999994,1.409,Zwolle,Netherlands,52.24N,5.26E
1837-08-01,17.586000000000002,1.247,Zwolle,Netherlands,52.24N,5.26E
1837-09-01,13.015,1.175,Zwolle,Netherlands,52.24N,5.26E
1837-10-01,10.399000000000001,2.826,Zwolle,Netherlands,52.24N,5.26E
1837-11-01,4.782,2.465,Zwolle,Netherlands,52.24N,5.26E
1837-12-01,3.0039999999999996,4.63,Zwolle,Netherlands,52.24N,5.26E
1838-01-01,-6.0939999999999985,3.259,Zwolle,Netherlands,52.24N,5.26E
1838-02-01,-1.7490000000000006,1.584,Zwolle,Netherlands,52.24N,5.26E
1838-03-01,4.215,1.4980000000000002,Zwolle,Netherlands,52.24N,5.26E
1838-04-01,5.532,1.749,Zwolle,Netherlands,52.24N,5.26E
1838-05-01,12.182,1.013,Zwolle,Netherlands,52.24N,5.26E
1838-06-01,15.088,1.6440000000000001,Zwolle,Netherlands,52.24N,5.26E
1838-07-01,16.907,4.16,Zwolle,Netherlands,52.24N,5.26E
1838-08-01,15.398,3.8819999999999997,Zwolle,Netherlands,52.24N,5.26E
1838-09-01,14.167,1.534,Zwolle,Netherlands,52.24N,5.26E
1838-10-01,9.809,3.964,Zwolle,Netherlands,52.24N,5.26E
1838-11-01,4.090999999999998,2.915,Zwolle,Netherlands,52.24N,5.26E
1838-12-01,1.848,2.688,Zwolle,Netherlands,52.24N,5.26E
1839-01-01,1.3430000000000002,1.405,Zwolle,Netherlands,52.24N,5.26E
1839-02-01,2.717,1.64,Zwolle,Netherlands,52.24N,5.26E
1839-03-01,2.78,0.88,Zwolle,Netherlands,52.24N,5.26E
1839-04-01,5.246,2.061,Zwolle,Netherlands,52.24N,5.26E
1839-05-01,11.753,0.607,Zwolle,Netherlands,52.24N,5.26E
1839-06-01,16.415,1.109,Zwolle,Netherlands,52.24N,5.26E
1839-07-01,17.273999999999994,3.5669999999999997,Zwolle,Netherlands,52.24N,5.26E
1839-08-01,15.399,2.5980000000000003,Zwolle,Netherlands,52.24N,5.26E
1839-09-01,14.274000000000001,1.4369999999999998,Zwolle,Netherlands,52.24N,5.26E
1839-10-01,9.949,1.733,Zwolle,Netherlands,52.24N,5.26E
1839-11-01,6.558,2.05,Zwolle,Netherlands,52.24N,5.26E
1839-12-01,3.3160000000000003,1.662,Zwolle,Netherlands,52.24N,5.26E
1840-01-01,1.671,2.233,Zwolle,Netherlands,52.24N,5.26E
1840-02-01,2.436,2.2,Zwolle,Netherlands,52.24N,5.26E
1840-03-01,2.2630000000000003,0.862,Zwolle,Netherlands,52.24N,5.26E
1840-04-01,9.932,2.825,Zwolle,Netherlands,52.24N,5.26E
1840-05-01,11.949000000000002,1.765,Zwolle,Netherlands,52.24N,5.26E
1840-06-01,15.088,1.469,Zwolle,Netherlands,52.24N,5.26E
1840-07-01,15.191999999999998,1.3319999999999999,Zwolle,Netherlands,52.24N,5.26E
1840-08-01,16.762999999999998,1.335,Zwolle,Netherlands,52.24N,5.26E
1840-09-01,13.259,1.3430000000000002,Zwolle,Netherlands,52.24N,5.26E
1840-10-01,7.885,2.136,Zwolle,Netherlands,52.24N,5.26E
1840-11-01,6.391,3.179,Zwolle,Netherlands,52.24N,5.26E
1840-12-01,-2.6889999999999996,2.089,Zwolle,Netherlands,52.24N,5.26E
1841-01-01,-0.09200000000000008,1.966,Zwolle,Netherlands,52.24N,5.26E
1841-02-01,-0.4490000000000003,1.493,Zwolle,Netherlands,52.24N,5.26E
1841-03-01,6.8610000000000015,4.041,Zwolle,Netherlands,52.24N,5.26E
1841-04-01,8.924,2.083,Zwolle,Netherlands,52.24N,5.26E
1841-05-01,15.533,0.868,Zwolle,Netherlands,52.24N,5.26E
1841-06-01,14.088,1.193,Zwolle,Netherlands,52.24N,5.26E
1841-07-01,14.694,1.32,Zwolle,Netherlands,52.24N,5.26E
1841-08-01,16.53,1.504,Zwolle,Netherlands,52.24N,5.26E
